List the type of the recent files in my drive	GET drive.recent
Give me the top 10 organizational structure files created by Dina Delpit.	GET drive.root.children FILTER file.name eq organizational structure FILTER file.createdBy eq Dina Delpit TOP 10
How many recent files of jpeg are there?	GET drive.recent FILTER file.fileType eq jpeg COUNT
Give me the number of recent files of jpeg format.	GET drive.recent FILTER file.fileType eq jpeg COUNT
How many recent doc files I have in my drive?	GET drive.recent FILTER file.fileType eq doc COUNT
Provide me with the number of recent doc files.	GET drive.recent FILTER file.fileType eq doc COUNT
Give me the number of recent files.	GET drive.recent COUNT
List out the number of recent files.	GET drive.recent COUNT
What are the id's of the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest?	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
Provide a list of id's for the top 7 png files that were last modified by Lumas and created three hours ago ordered by size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Lumas FILTER file.fileType eq png FILTER file.createdDateTime eq three hours ago TOP 7 ORDERBY file.size asc
List out the files created by Tiffany and last edited by Garth Roy ordered by create time from newest to oldest.	GET drive.root.children FILTER file.createdBy eq Tiffany FILTER file.lastModifiedBy eq Garth Roy ORDERBY file.createdDateTime desc
What are the files created by Tiffany and last modified by Garth Roy ordered by create time from newest to oldest?	GET drive.root.children FILTER file.createdBy eq Tiffany FILTER file.lastModifiedBy eq Garth Roy ORDERBY file.createdDateTime desc
What are the excel files named as organizational structure that were created this Monday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.name eq organizational structure FILTER file.createdDateTime eq this Monday
Tell me about the xlsx files named as organizational structure that were created this Monday?	GET drive.root.children FILTER file.fileType eq xlsx FILTER file.name eq organizational structure FILTER file.createdDateTime eq this Monday
What are the top 9 files created by Mentgen?	GET drive.root.children FILTER file.createdBy eq Mentgen TOP 9
Tell me about the top 9 files created by Mentgen.	GET drive.root.children FILTER file.createdBy eq Mentgen TOP 9
What are the file types of files that were last modified by Tiffanie?	GET drive.root.children FILTER file.lastModifiedBy eq Tiffanie
List the file types for the files that were last modified by Tiffanie.	GET drive.root.children FILTER file.lastModifiedBy eq Tiffanie
Tell me about the pdf files created by wai that were modified last Tuesday by Eliza.	GET drive.root.children FILTER file.createdBy eq Wai FILTER file.lastModifiedDateTime eq last Tuesday FILTER file.lastModifiedBy eq Eliza FILTER file.fileType eq pdf
What are the pdf files created by wai that were modified last Tuesday by Eliza?	GET drive.root.children FILTER file.createdBy eq Wai FILTER file.lastModifiedDateTime eq last Tuesday FILTER file.lastModifiedBy eq Eliza FILTER file.fileType eq pdf
List the top 16 files shared with status of files named Mel that were created one hour ago arranged in order of size from biggest to smallest.	GET drive.root.children FILTER file.createdDateTime eq one hour ago FILTER file.name eq Mel TOP 16 ORDERBY file.size desc
Give me the information of the op 16 files shared with status of files named Mel that were created one hour ago arranged in order of size from biggest to smallest.	GET drive.root.children FILTER file.createdDateTime eq one hour ago FILTER file.name eq Mel TOP 16 ORDERBY file.size desc
Give me the number of files modified three hours ago and shared with specific users.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.lastModifiedDateTime eq three hours ago COUNT
How many files that were shared with specific users and updated three hours ago?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.lastModifiedDateTime eq three hours ago COUNT
What files were created by Romona and last modified by Kirschenmann?	GET drive.root.children FILTER file.lastModifiedBy eq Kirschenmann FILTER file.createdBy eq Romona
Give me the files which were created by Romona and last modified by Kirschenmann.	GET drive.root.children FILTER file.lastModifiedBy eq Kirschenmann FILTER file.createdBy eq Romona
Which are the files created by Woodmancy from newest to oldest order?	GET drive.root.children FILTER file.createdBy eq Woodmancy ORDERBY file.createdDateTime desc
Show me the files created by Woodmancy from new to old.	GET drive.root.children FILTER file.createdBy eq Woodmancy ORDERBY file.createdDateTime desc
List the top 15 pdf files that were created this month arranged in order of size from smallest to biggest.	GET drive.root.children FILTER file.fileType eq pdf FILTER file.createdDateTime eq this month TOP 15 ORDERBY file.size asc
What are the top 15 pdf files that were created this month arrange them in order of size from smallest to biggest?	GET drive.root.children FILTER file.fileType eq pdf FILTER file.createdDateTime eq this month TOP 15 ORDERBY file.size asc
Give me number of recent files in my drive.	GET drive.recent COUNT
How many recent files are in my drive?	GET drive.recent COUNT
How many recent excel files is in my drive?	GET drive.recent FILTER file.fileType eq xlsx COUNT
Show me the number of recent excel files.	GET drive.recent FILTER file.fileType eq xlsx COUNT
Give me the files which were shared with anyone.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone
What are the files where are shared with anyone?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone
Give me the files created by Corke that were last modified by Taryn.	GET drive.root.children FILTER file.createdBy eq Corke FILTER file.lastModifiedBy eq Taryn
Tell me about the files created by Corke and last modified by Taryn.	GET drive.root.children FILTER file.createdBy eq Corke FILTER file.lastModifiedBy eq Taryn
Which are the files that were shared with specific users?	GET drive.sharedWithMe FILTER file.sharedWith eq specific users
Give me the files shared with specific users.	GET drive.sharedWithMe FILTER file.sharedWith eq specific users
Provide me with the number of jpeg files shared with me that were created last year and modified by Len Ebling.	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Len Ebling FILTER file.createdDateTime eq last year FILTER file.fileType eq jpeg COUNT
How many image files were shared with me created last year and modified by Len Ebling?	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Len Ebling FILTER file.createdDateTime eq last year FILTER file.fileType eq jpeg COUNT
How many recent files are there?	GET drive.recent COUNT
List the number of recent files.	GET drive.recent COUNT
How many recent files are present?	GET drive.recent COUNT
Provide the number of recent files?	GET drive.recent COUNT
Provide information of files named convex domain that were shared with specific users and last modified by Kasandra.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq convex domain FILTER file.lastModifiedBy eq Kasandra
List the convex domain files that were last edited by Kasandra and shared with specific users.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq convex domain FILTER file.lastModifiedBy eq Kasandra
Give me the files shared with anyone about Sundial.	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.name eq Sundial
What are the files about Sundial which were shared with anyone?	GET drive.root.children FILTER file.sharedWith eq anyone FILTER file.name eq Sundial
List the oldest edited 15 files that were created by Fiest and last modified by Brain Domino.	GET drive.root.children FILTER file.lastModifiedBy eq Brain Domino FILTER file.createdBy eq Fiest ORDERBY file.lastModifiedDateTime asc TOP 15
Which are the 15 files that were last modified by Brain Domino and created by Fiest arranged in order of their last modification time from oldest to newest.	GET drive.root.children FILTER file.lastModifiedBy eq Brain Domino FILTER file.createdBy eq Fiest ORDERBY file.lastModifiedDateTime asc TOP 15
How many files do I have in my drive about AvocadoIT Fyi's that were shared with me and specific users?	GET drive.sharedWithMe FILTER file.sharedWith eq specific users FILTER file.name eq AvocadoIT Fyi's COUNT
Give me the number of files named as AvocadoIT Fyi's that were shared with me and soecific users.	GET drive.sharedWithMe FILTER file.sharedWith eq specific users FILTER file.name eq AvocadoIT Fyi's COUNT
Give me the number of files which were created by  Hyo lastly modified this Thursday and shared with me.	GET drive.sharedWithMe FILTER file.lastModifiedDateTime eq this Thursday FILTER file.createdBy eq Hyo COUNT
How many files shared with me that were created by  Hyo lastly modified this Thursday?	GET drive.sharedWithMe FILTER file.lastModifiedDateTime eq this Thursday FILTER file.createdBy eq Hyo COUNT
How many files shared with me and specific users that were created this week?	GET drive.sharedWithMe FILTER file.sharedWith eq specific users FILTER file.createdDateTime eq this week COUNT
Give me the number of files shared with me and specific users created this week.	GET drive.sharedWithMe FILTER file.sharedWith eq specific users FILTER file.createdDateTime eq this week COUNT
What are the top 17 restriction files that were lastly modified by Tawanna?	GET drive.root.children FILTER file.name eq restriction FILTER file.lastModifiedBy eq Tawanna TOP 17
Tell me about the top 17 restriction files last updated by Tawanna.	GET drive.root.children FILTER file.name eq restriction FILTER file.lastModifiedBy eq Tawanna TOP 17
Provide me with the number of files shared with me about adaptive filter that were last modified this friday by Tory.	GET drive.sharedWithMe FILTER file.name eq adaptive filter FILTER file.lastModifiedDateTime eq this Friday FILTER file.lastModifiedBy eq Tory COUNT
How many files were shared with me about adaptive filter that were last modified this friday by Tory?	GET drive.sharedWithMe FILTER file.name eq adaptive filter FILTER file.lastModifiedDateTime eq this Friday FILTER file.lastModifiedBy eq Tory COUNT
Give me the top 10 document files which were created this year ordered by size from largest to smallest.	GET drive.root.children FILTER file.createdDateTime eq this year FILTER file.fileType eq doc ORDERBY file.size desc TOP 10
What are the 10 document files which were created this year ordered by size from largest to smallest? 	GET drive.root.children FILTER file.createdDateTime eq this year FILTER file.fileType eq doc ORDERBY file.size desc TOP 10
Provide me the number of files modified one hour ago that were shared with me and anyone in my organization.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedDateTime eq one hour ago COUNT
How many files were shared with me and anyone in my organization that were updated one hour ago?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedDateTime eq one hour ago COUNT
List the Akami files ordered by their last modified time and arranged from newest to oldest.	GET drive.root.children FILTER file.name eq Akami ORDERBY file.lastModifiedDateTime desc
What are the Akami named files ordered by last modifiction time from newest to oldest?	GET drive.root.children FILTER file.name eq Akami ORDERBY file.lastModifiedDateTime desc
Give me the number of Chase H&Q files.	GET drive.root.children FILTER file.name eq Chase H&Q COUNT
How many Chase H&Q files do I have in my drive?	GET drive.root.children FILTER file.name eq Chase H&Q COUNT
How many excel files were created by Latesha and last modified last Saturday?	GET drive.root.children FILTER file.lastModifiedDateTime eq last Saturday FILTER file.fileType eq xlsx FILTER file.createdBy eq Latesha COUNT
Provide the number of xlsx files that were last modified last Saturday and created by Latesha.	GET drive.root.children FILTER file.lastModifiedDateTime eq last Saturday FILTER file.fileType eq xlsx FILTER file.createdBy eq Latesha COUNT
Give me the files which were created this year and lastly modified by Danyel Perniciaro.	GET drive.root.children FILTER file.createdDateTime eq this year FILTER file.lastModifiedBy eq Danyel Perniciaro
What are the files that were lastly modified by Danyel Perniciaro and created this year?	GET drive.root.children FILTER file.createdDateTime eq this year FILTER file.lastModifiedBy eq Danyel Perniciaro
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many files shared with me and anyone in my organization that were last updated this Monday?	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedDateTime eq this Monday COUNT
List out the number of files shared with me and anyone in my organization lastly modified this Monday.	GET drive.sharedWithMe FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedDateTime eq this Monday COUNT
List out the files ordered by their created time from oldest to newest.	GET drive.root.children ORDERBY file.createdDateTime asc
Show me the files ordered in ascending order by its created time.	GET drive.root.children ORDERBY file.createdDateTime asc
Shoe me the number of recent files.	GET drive.recent COUNT
List out the number of recent files.	GET drive.recent COUNT
Tell me about Animal health word files lastly updated by Lashonda.	GET drive.root.children FILTER file.name eq Animal health FILTER file.lastModifiedBy eq Lashonda FILTER file.fileType eq doc
What are the Animal health word files that were last edited by Lashonda?	GET drive.root.children FILTER file.name eq Animal health FILTER file.lastModifiedBy eq Lashonda FILTER file.fileType eq doc
List out the power point presentation files.	GET drive.root.children FILTER file.fileType eq ppt
Give me information about the power point presentation files.	GET drive.root.children FILTER file.fileType eq ppt
How many recent png files are there?	GET drive.recent FILTER file.fileType eq png COUNT
Provide the number of recent png files.	GET drive.recent FILTER file.fileType eq png COUNT
How many files I have about bounded perception that were created yesterday?	GET drive.root.children FILTER file.name eq bounded perception FILTER file.createdDateTime eq yesterday COUNT
Provide me the number of files named as bounded perception that were created yesterday.	GET drive.root.children FILTER file.name eq bounded perception FILTER file.createdDateTime eq yesterday COUNT
Give me the number of files created by Passmore.	GET drive.root.children FILTER file.createdBy eq Passmore COUNT
How many files created by Passmore?	GET drive.root.children FILTER file.createdBy eq Passmore COUNT
List out the top 18 PowerPoint files ordered by size in ascending order.	GET drive.root.children FILTER file.fileType eq ppt ORDERBY file.size asc TOP 18
What are the top 18 ppt files Ordered by their size from smallest to largest?	GET drive.root.children FILTER file.fileType eq ppt ORDERBY file.size asc TOP 18
Show me the top 11 name of files ordered from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
Give me the top 11 name of files ordered by last modified time from oldest to newest.	GET drive.root.children TOP 11 ORDERBY file.lastModifiedDateTime asc
What are the files do I have in my drive?	GET drive.root.children
Show me the files.	GET drive.root.children
How many recent png files I have in my drive?	GET drive.recent FILTER file.fileType eq png COUNT
Provide me the number of recent image files.	GET drive.recent FILTER file.fileType eq png COUNT
Provide me the number of files that were last updated by Dillaman.	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
How many files were updated by Dillaman?	GET drive.root.children FILTER file.lastModifiedBy eq Dillaman COUNT
Tell me about the files that were shared with specific users ordered by created time from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq specific users ORDERBY file.createdDateTime desc
Give me the files that were shared with specific users ordered by created time from newest to oldest.	GET drive.root.children FILTER file.sharedWith eq specific users ORDERBY file.createdDateTime desc
Show me the top 16 files that were modified last week and shared with anyone in my organization.	GET drive.sharedWithMe FILTER file.lastModifiedDateTime eq last week FILTER file.sharedWith eq anyone in my organization TOP 16
Provide me the top 16 files that were updated last week and shared with anyone in my organization.	GET drive.sharedWithMe FILTER file.lastModifiedDateTime eq last week FILTER file.sharedWith eq anyone in my organization TOP 16
What are the top 15 image files shared with anyone that were created last Thursday and ordered by updated time from oldest to newest?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdDateTime eq last Thursday FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime asc TOP 15
Give me the top 15 image files shared with anyone that were created last Thursday and ordered by updated time from oldest to newest.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdDateTime eq last Thursday FILTER file.sharedWith eq anyone ORDERBY file.lastModifiedDateTime asc TOP 15
How many png files were created by Lawana and last modified by Blair?	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
Provide me the number of files that were created by Lawana and last modified by Blair.	GET drive.root.children FILTER file.fileType eq png FILTER file.lastModifiedBy eq Blair FILTER file.createdBy eq Lawana COUNT
How many files were created by Anglada that were last updated by Dorothy Caplinger this Tuesday?	GET drive.root.children FILTER file.createdBy eq Anglada FILTER file.lastModifiedDateTime eq this Tuesday FILTER file.lastModifiedBy eq Dorothy Caplinger COUNT
Provide me the number of files created by Anglada that were last modified by Dorothy Caplinger this Tuesday.	GET drive.root.children FILTER file.createdBy eq Anglada FILTER file.lastModifiedDateTime eq this Tuesday FILTER file.lastModifiedBy eq Dorothy Caplinger COUNT
Provide me the last modified Resume's image files from smaller to bigger.	GET drive.root.children FILTER file.name eq Resume's FILTER file.fileType eq png ORDERBY file.size asc
Give me the information about the last edited Resume's image files ordered by size in ascending order.	GET drive.root.children FILTER file.name eq Resume's FILTER file.fileType eq png ORDERBY file.size asc
How many recent files I have in my drive?	GET drive.recent COUNT
Provide me the number of recent files.	GET drive.recent COUNT
Give me the size of top 2 pdf files. 	GET drive.root.children FILTER file.fileType eq pdf TOP 2
What are the size of the top 2 pdf files?	GET drive.root.children FILTER file.fileType eq pdf TOP 2
Give me the files which were last modified by Lattner.	GET drive.root.children FILTER file.lastModifiedBy eq Lattner
What files were lastly modified by Lattner?	GET drive.root.children FILTER file.lastModifiedBy eq Lattner
Show me the presentation files.	GET drive.root.children FILTER file.fileType eq ppt
Give me the ppt files.	GET drive.root.children FILTER file.fileType eq ppt
What are the files do I have?	GET drive.root.children
Give me the files.	GET drive.root.children
How many recent combined-value trading files shared with anyone and last updated three hours ago?	GET drive.recent FILTER file.name eq combined-value trading FILTER file.sharedWith eq anyone FILTER file.lastModifiedDateTime eq three hours ago COUNT
Show me the number of combined-value trading files that were modified three hours ago and shared with anyone.	GET drive.root.children FILTER file.name eq combined-value trading FILTER file.sharedWith eq anyone FILTER file.lastModifiedDateTime eq three hours ago COUNT
Give me the files about blast created by Brigida.	GET drive.root.children FILTER file.createdBy eq Brigida FILTER file.name eq blast
Show me the files about blast which were created by Brigida.	GET drive.root.children FILTER file.createdBy eq Brigida FILTER file.name eq blast
How many recent files named STRAW were created by Amderson?	GET drive.recent FILTER file.name eq STRAW FILTER file.createdBy eq Amderson COUNT
List the number of recent files named STRAW created by Amderson.	GET drive.recent FILTER file.name eq STRAW FILTER file.createdBy eq Amderson COUNT
Show me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
Give me the id of presentation files about Coastal Tool created by Loughary.	GET drive.root.children FILTER file.fileType eq ppt FILTER file.createdBy eq Loughary FILTER file.name eq Coastal Tool
How many files with the name PROSPECTS are there?	GET drive.root.children FILTER file.name eq PROSPECTS COUNT
What is the number of files having name PROSPECTS?	GET drive.root.children FILTER file.name eq PROSPECTS COUNT
What are the files created by Anderson this Saturday?	GET drive.root.children FILTER file.createdBy eq Anderson FILTER file.createdDateTime eq this Saturday
List out the files created this Saturday by Anderson.	GET drive.root.children FILTER file.createdBy eq Anderson FILTER file.createdDateTime eq this Saturday
Tell me about the image files that were created by Worbington.	GET drive.root.children FILTER file.fileType eq png FILTER file.createdBy eq Worbington
What are the png files that were created by Worbington?	GET drive.root.children FILTER file.fileType eq png FILTER file.createdBy eq Worbington
Give me the top 4 files shared with anyone which were modified by Sharee ordered by created time from oldest to newest.	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Sharee FILTER file.sharedWith eq anyone ORDERBY file.createdDateTime asc TOP 4
what are the top 4 files shared with anyone and last modified by Sharee and ordered by create time from oldest to newest?	GET drive.sharedWithMe FILTER file.lastModifiedBy eq Sharee FILTER file.sharedWith eq anyone ORDERBY file.createdDateTime asc TOP 4
How many recent files shared with specific users were last edited by Ellie Moyers on this Tuesday?	GET drive.recent FILTER file.sharedWith eq specific users FILTER file.lastModifiedBy eq Ellie Moyers FILTER file.lastModifiedDateTime eq this Tuesday COUNT
Give me the number of recent files that were last modified this Tuuesday by Ellie Moyers.	GET drive.recent FILTER file.sharedWith eq specific users FILTER file.lastModifiedBy eq Ellie Moyers FILTER file.lastModifiedDateTime eq this Tuesday COUNT
Show me the files about Analyst which were shared with anyone and created last Tuesday.	GET drive.sharedWithMe FILTER file.createdDateTime eq last Tuesday FILTER file.sharedWith eq anyone FILTER file.name eq Analyst
What are the files which were shared with anyone about Analyst and created last Tuesday?	GET drive.sharedWithMe FILTER file.createdDateTime eq last Tuesday FILTER file.sharedWith eq anyone FILTER file.name eq Analyst
Give me the files.	GET drive.root.children
Show me the files.	GET drive.root.children
How many files do I have shared with anyone in my organization created by Marcy and were last edited this Monday?	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedDateTime eq this Monday FILTER file.createdBy eq Marcy COUNT
Give me the number of files that were shared with anyone in my organization created by Marcy and lastly modified this Monday.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedDateTime eq this Monday FILTER file.createdBy eq Marcy COUNT
Tell me about the files I have in my drive.	GET drive.root.children
What are files I have in my drive?	GET drive.root.children
Show me the number of recent files.	GET drive.recent COUNT
What are the number of recent files?	GET drive.recent COUNT
How many files shared with me about Partner Programs created by Marlo last month?	GET drive.sharedWithMe FILTER file.createdBy eq Marlo FILTER file.createdDateTime eq last month FILTER file.name eq Partner Programs COUNT
Show me the number of files shared with me about Partner Programs created by Marlo last month.	GET drive.sharedWithMe FILTER file.createdBy eq Marlo FILTER file.createdDateTime eq last month FILTER file.name eq Partner Programs COUNT
List out the top 15 files created by Turlich.	GET drive.root.children FILTER file.createdBy eq Turlich TOP 15
What are the top 15 files Turlich created?	GET drive.root.children FILTER file.createdBy eq Turlich TOP 15
Tell me about the top 2 files that were created by Dotto.	GET drive.root.children FILTER file.createdBy eq Dotto TOP 2
What are the top 2 files that were created by Dotto?	GET drive.root.children FILTER file.createdBy eq Dotto TOP 2
